row_id	idx	total	scene_id	scene_path	step1_report	status	run_state	elapsed_sec	step2_ok	floor_status	floor_method	floor_confidence	fail_reason	step2_report_json	log_path	worker_exit_code
12	12	24	lincolns_inn_drawing_room	/Users/sota/code/3d/room/lincolns_inn_drawing_room.glb	/Users/sota/code/3d_new/output/room_full/step1/lincolns_inn_drawing_room/step1_start_report.json	OK	DONE	1.830	True	OK	ransac	0.8311429469282312		/Users/sota/code/3d_new/output/room_full/step2/lincolns_inn_drawing_room/step2_floor_report.json	/Users/sota/code/3d_new/output/room_full/step2/_batch_logs/lincolns_inn_drawing_room.log	0
13	13	24	modern_apartment_interior	/Users/sota/code/3d/room/modern_apartment_interior.glb	/Users/sota/code/3d_new/output/room_full/step1/modern_apartment_interior/step1_start_report.json	SKIP	SKIP	0.568	False	FAIL	none	0.0	STEP1_NOT_READY	/Users/sota/code/3d_new/output/room_full/step2/modern_apartment_interior/step2_floor_report.json	/Users/sota/code/3d_new/output/room_full/step2/_batch_logs/modern_apartment_interior.log	0
14	14	24	modern_bathroom	/Users/sota/code/3d/room/modern_bathroom.glb	/Users/sota/code/3d_new/output/room_full/step1/modern_bathroom/step1_start_report.json	OK	DONE	1.334	True	FALLBACK_OK	ray_fallback	1.0		/Users/sota/code/3d_new/output/room_full/step2/modern_bathroom/step2_floor_report.json	/Users/sota/code/3d_new/output/room_full/step2/_batch_logs/modern_bathroom.log	0
15	15	24	modern_office	/Users/sota/code/3d/room/modern_office.glb	/Users/sota/code/3d_new/output/room_full/step1/modern_office/step1_start_report.json	OK	DONE	1.477	True	OK	ransac	0.9058939254470532		/Users/sota/code/3d_new/output/room_full/step2/modern_office/step2_floor_report.json	/Users/sota/code/3d_new/output/room_full/step2/_batch_logs/modern_office.log	0
16	16	24	pub_interior	/Users/sota/code/3d/room/pub_interior.glb	/Users/sota/code/3d_new/output/room_full/step1/pub_interior/step1_start_report.json	OK	DONE	1.470	True	FALLBACK_OK	ray_fallback	1.0		/Users/sota/code/3d_new/output/room_full/step2/pub_interior/step2_floor_report.json	/Users/sota/code/3d_new/output/room_full/step2/_batch_logs/pub_interior.log	0
17	17	24	red_room	/Users/sota/code/3d/room/red_room.glb	/Users/sota/code/3d_new/output/room_full/step1/red_room/step1_start_report.json	OK	DONE	1.043	True	FALLBACK_OK	ray_fallback	1.0		/Users/sota/code/3d_new/output/room_full/step2/red_room/step2_floor_report.json	/Users/sota/code/3d_new/output/room_full/step2/_batch_logs/red_room.log	0
18	18	24	school_class_room_light_ver	/Users/sota/code/3d/room/school_class_room_light_ver.glb	/Users/sota/code/3d_new/output/room_full/step1/school_class_room_light_ver/step1_start_report.json	OK	DONE	1.590	True	OK	ransac	0.9427435278866646		/Users/sota/code/3d_new/output/room_full/step2/school_class_room_light_ver/step2_floor_report.json	/Users/sota/code/3d_new/output/room_full/step2/_batch_logs/school_class_room_light_ver.log	0
19	19	24	sci_fi_biolab_corridor	/Users/sota/code/3d/room/sci_fi_biolab_corridor.glb	/Users/sota/code/3d_new/output/room_full/step1/sci_fi_biolab_corridor/step1_start_report.json	OK	DONE	1.320	True	FALLBACK_OK	ray_fallback	0.9999799728393555		/Users/sota/code/3d_new/output/room_full/step2/sci_fi_biolab_corridor/step2_floor_report.json	/Users/sota/code/3d_new/output/room_full/step2/_batch_logs/sci_fi_biolab_corridor.log	0
20	20	24	sitting_room_with_baked_textures	/Users/sota/code/3d/room/sitting_room_with_baked_textures.glb	/Users/sota/code/3d_new/output/room_full/step1/sitting_room_with_baked_textures/step1_start_report.json	OK	DONE	1.321	True	OK	ransac	0.9427333296921824		/Users/sota/code/3d_new/output/room_full/step2/sitting_room_with_baked_textures/step2_floor_report.json	/Users/sota/code/3d_new/output/room_full/step2/_batch_logs/sitting_room_with_baked_textures.log	0
21	21	24	stylized_locker_room	/Users/sota/code/3d/room/stylized_locker_room.glb	/Users/sota/code/3d_new/output/room_full/step1/stylized_locker_room/step1_start_report.json	OK	DONE	1.865	True	OK	ransac	0.9448743142298172		/Users/sota/code/3d_new/output/room_full/step2/stylized_locker_room/step2_floor_report.json	/Users/sota/code/3d_new/output/room_full/step2/_batch_logs/stylized_locker_room.log	0
22	22	24	subway	/Users/sota/code/3d/room/subway.glb	/Users/sota/code/3d_new/output/room_full/step1/subway/step1_start_report.json	OK	DONE	1.070	True	OK	ransac	0.9566698198100292		/Users/sota/code/3d_new/output/room_full/step2/subway/step2_floor_report.json	/Users/sota/code/3d_new/output/room_full/step2/_batch_logs/subway.log	0
23	23	24	vr_gallery_-_like_model_if_you_download_it	/Users/sota/code/3d/room/vr_gallery_-_like_model_if_you_download_it.glb	/Users/sota/code/3d_new/output/room_full/step1/vr_gallery_-_like_model_if_you_download_it/step1_start_report.json	SKIP	SKIP	0.572	False	FAIL	none	0.0	STEP1_NOT_READY	/Users/sota/code/3d_new/output/room_full/step2/vr_gallery_-_like_model_if_you_download_it/step2_floor_report.json	/Users/sota/code/3d_new/output/room_full/step2/_batch_logs/vr_gallery_-_like_model_if_you_download_it.log	0
24	24	24	vr_gallery_house_baked	/Users/sota/code/3d/room/vr_gallery_house_baked.glb	/Users/sota/code/3d_new/output/room_full/step1/vr_gallery_house_baked/step1_start_report.json	OK	DONE	2.315	True	OK	ransac	0.9916208947867382		/Users/sota/code/3d_new/output/room_full/step2/vr_gallery_house_baked/step2_floor_report.json	/Users/sota/code/3d_new/output/room_full/step2/_batch_logs/vr_gallery_house_baked.log	0
