row_id	idx	total	scene_id	scene_path	status	run_state	quarantine	elapsed_sec	scene_init_ok	navmesh_status	fallback_plan	worker_exit_code	fail_reason	scene_init_json	bootstrap_json	log_path
11	11	24	eloiza_e_ze_newton	/Users/sota/code/3d/room/eloiza_e_ze_newton.glb	OK	OK	False	2.117	True	RECOMPUTED_OK	navmesh	0		/Users/sota/code/3d_new/output/room_full/step0/eloiza_e_ze_newton/scene_init.json	/Users/sota/code/3d_new/output/room_full/step0/eloiza_e_ze_newton/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_full/step0/_batch_logs/eloiza_e_ze_newton.log
12	12	24	lincolns_inn_drawing_room	/Users/sota/code/3d/room/lincolns_inn_drawing_room.glb	OK	OK	False	1.785	True	RECOMPUTED_OK	navmesh	0		/Users/sota/code/3d_new/output/room_full/step0/lincolns_inn_drawing_room/scene_init.json	/Users/sota/code/3d_new/output/room_full/step0/lincolns_inn_drawing_room/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_full/step0/_batch_logs/lincolns_inn_drawing_room.log
13	13	24	modern_apartment_interior	/Users/sota/code/3d/room/modern_apartment_interior.glb	QUARANTINED	QUARANTINED	True	0.732	False	FAIL	no_navmesh_sampling	0	QUARANTINED_HARD_ANOMALY	/Users/sota/code/3d_new/output/room_full/step0/modern_apartment_interior/scene_init.json	/Users/sota/code/3d_new/output/room_full/step0/modern_apartment_interior/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_full/step0/_batch_logs/modern_apartment_interior.log
14	14	24	modern_bathroom	/Users/sota/code/3d/room/modern_bathroom.glb	OK	OK	False	1.707	True	RECOMPUTED_OK	navmesh	0		/Users/sota/code/3d_new/output/room_full/step0/modern_bathroom/scene_init.json	/Users/sota/code/3d_new/output/room_full/step0/modern_bathroom/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_full/step0/_batch_logs/modern_bathroom.log
15	15	24	modern_office	/Users/sota/code/3d/room/modern_office.glb	OK	OK	False	2.242	True	RECOMPUTED_OK	navmesh	0		/Users/sota/code/3d_new/output/room_full/step0/modern_office/scene_init.json	/Users/sota/code/3d_new/output/room_full/step0/modern_office/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_full/step0/_batch_logs/modern_office.log
16	16	24	pub_interior	/Users/sota/code/3d/room/pub_interior.glb	OK	OK	False	1.941	True	RECOMPUTED_OK	navmesh	0		/Users/sota/code/3d_new/output/room_full/step0/pub_interior/scene_init.json	/Users/sota/code/3d_new/output/room_full/step0/pub_interior/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_full/step0/_batch_logs/pub_interior.log
17	17	24	red_room	/Users/sota/code/3d/room/red_room.glb	OK	OK	False	1.456	True	RECOMPUTED_OK	navmesh	0		/Users/sota/code/3d_new/output/room_full/step0/red_room/scene_init.json	/Users/sota/code/3d_new/output/room_full/step0/red_room/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_full/step0/_batch_logs/red_room.log
18	18	24	school_class_room_light_ver	/Users/sota/code/3d/room/school_class_room_light_ver.glb	OK	OK	False	1.353	True	RECOMPUTED_OK	navmesh	0		/Users/sota/code/3d_new/output/room_full/step0/school_class_room_light_ver/scene_init.json	/Users/sota/code/3d_new/output/room_full/step0/school_class_room_light_ver/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_full/step0/_batch_logs/school_class_room_light_ver.log
19	19	24	sci_fi_biolab_corridor	/Users/sota/code/3d/room/sci_fi_biolab_corridor.glb	OK	OK	False	1.591	True	RECOMPUTED_OK	navmesh	0		/Users/sota/code/3d_new/output/room_full/step0/sci_fi_biolab_corridor/scene_init.json	/Users/sota/code/3d_new/output/room_full/step0/sci_fi_biolab_corridor/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_full/step0/_batch_logs/sci_fi_biolab_corridor.log
20	20	24	sitting_room_with_baked_textures	/Users/sota/code/3d/room/sitting_room_with_baked_textures.glb	OK	OK	False	1.901	True	RECOMPUTED_OK	navmesh	0		/Users/sota/code/3d_new/output/room_full/step0/sitting_room_with_baked_textures/scene_init.json	/Users/sota/code/3d_new/output/room_full/step0/sitting_room_with_baked_textures/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_full/step0/_batch_logs/sitting_room_with_baked_textures.log
21	21	24	stylized_locker_room	/Users/sota/code/3d/room/stylized_locker_room.glb	OK	OK	False	2.891	True	RECOMPUTED_OK	navmesh	0		/Users/sota/code/3d_new/output/room_full/step0/stylized_locker_room/scene_init.json	/Users/sota/code/3d_new/output/room_full/step0/stylized_locker_room/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_full/step0/_batch_logs/stylized_locker_room.log
22	22	24	subway	/Users/sota/code/3d/room/subway.glb	OK	OK	False	1.258	True	RECOMPUTED_OK	navmesh	0		/Users/sota/code/3d_new/output/room_full/step0/subway/scene_init.json	/Users/sota/code/3d_new/output/room_full/step0/subway/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_full/step0/_batch_logs/subway.log
23	23	24	vr_gallery_-_like_model_if_you_download_it	/Users/sota/code/3d/room/vr_gallery_-_like_model_if_you_download_it.glb	QUARANTINED	QUARANTINED	True	0.761	False	FAIL	no_navmesh_sampling	0	QUARANTINED_HARD_ANOMALY	/Users/sota/code/3d_new/output/room_full/step0/vr_gallery_-_like_model_if_you_download_it/scene_init.json	/Users/sota/code/3d_new/output/room_full/step0/vr_gallery_-_like_model_if_you_download_it/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_full/step0/_batch_logs/vr_gallery_-_like_model_if_you_download_it.log
24	24	24	vr_gallery_house_baked	/Users/sota/code/3d/room/vr_gallery_house_baked.glb	OK	OK	False	3.898	True	RECOMPUTED_OK	navmesh	0		/Users/sota/code/3d_new/output/room_full/step0/vr_gallery_house_baked/scene_init.json	/Users/sota/code/3d_new/output/room_full/step0/vr_gallery_house_baked/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_full/step0/_batch_logs/vr_gallery_house_baked.log
